fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol
10,9;0,26;0,55;1,82;0,072;17;59;0,9671;3,06;0,56;9,5
7,6;0,60;0,28;1,55;0,112;9;28;0,9768;3,19;1,55;8,9
7,7;0,61;0,09;4,49;0,089;7;31;1,0340;3,50;0,52;9,4
7,8;0,43;0,21;1,58;0,105;10;37;0,9902;3,15;0,91;9,4
6,7;0,67;0,07;2,39;0,089;17;82;0,9921;3,34;0,54;10,1
6,6;0,58;0,11;10,60;0,070;39;81;0,9614;3,32;0,49;9,0
5,4;1,11;0,08;1,39;0,168;6;17;0,9526;3,36;0,45;9,4
6,4;0,65;0,01;1,69;0,046;4;9;0,9536;3,34;0,49;9,1
6,5;0,77;-0,01;2,32;0,101;13;28;0,9640;3,41;0,53;10,4
8,0;0,59;0,29;2,00;0,080;10;48;0,9561;3,26;0,58;9,8
10,0;0,31;0,44;2,28;0,079;22;46;0,9920;3,30;0,67;9,6
9,4;0,40;0,31;2,21;0,090;13;62;1,0005;3,08;0,63;10,5
7,7;0,72;0,55;1,89;0,114;29;132;0,9555;3,10;0,63;9,0
8,6;0,76;0,12;1,96;0,092;16;64;1,0216;3,27;0,84;9,9
8,3;0,71;0,15;1,79;0,089;10;52;0,9915;3,21;0,77;9,4
7,0;0,31;0,46;2,00;0,074;4;9;0,9581;3,20;0,51;9,9
7,0;0,50;0,04;1,52;0,086;19;49;1,0021;3,37;0,78;9,6
7,1;0,37;0,47;1,92;0,079;14;66;0,9670;3,24;0,53;8,9
7,2;0,53;0,20;2,09;0,067;6;26;0,9520;3,13;0,52;9,2
8,8;0,66;0,37;2,12;0,093;16;57;1,0457;3,47;0,60;10,9
7,3;0,63;0,00;1,92;0,098;14;38;1,0030;3,39;0,58;9,1
7,1;0,55;0,05;3,07;0,079;7;28;1,0266;3,78;0,93;9,7
8,4;0,72;0,20;2,41;0,076;10;38;1,0015;3,32;0,64;9,4
6,6;0,52;0,03;2,92;0,074;7;26;0,9683;3,59;0,89;9,1
9,9;0,41;0,43;2,29;0,210;4;10;0,9560;3,05;0,60;9,0
12,4;0,59;0,65;5,67;0,079;6;40;0,9525;2,91;0,70;9,5
10,2;0,33;0,52;2,75;0,157;15;74;0,9819;3,12;0,63;9,2
6,6;0,74;0,01;2,20;0,060;34;61;0,9581;3,44;0,75;9,5
8,5;0,27;0,43;2,05;0,082;11;28;1,0177;3,28;0,81;9,6
5,2;0,82;0,04;1,28;0,041;11;86;0,9448;3,40;0,79;12,4
11,3;0,58;0,58;2,55;0,085;13;48;0,9796;3,12;0,64;10,8
12,7;0,41;0,64;2,41;0,095;7;20;1,0449;3,31;0,52;10,0
15,7;0,69;0,76;3,75;0,102;6;44;1,0210;3,01;0,69;11,4
11,1;0,61;0,66;5,14;0,084;6;18;0,9748;3,14;0,67;13,1
7,5;0,36;0,33;2,58;0,093;44;115;1,0300;3,43;0,81;11,4
9,5;0,45;0,50;2,49;0,089;24;118;1,0340;3,35;0,66;9,9
11,5;0,48;0,48;2,15;0,081;5;14;0,9805;3,13;0,42;9,0
7,6;0,83;0,00;2,58;0,080;6;14;0,9897;3,27;0,51;9,2
13,5;0,48;0,53;2,28;0,074;12;36;1,0316;3,20;0,58;9,3
8,4;0,58;0,28;2,08;0,094;4;13;0,9524;3,21;0,46;8,6
8,3;0,51;0,25;2,37;0,093;6;29;0,9479;3,10;0,57;8,8
10,1;0,26;0,53;2,61;0,102;4;17;0,9646;3,14;0,61;9,1
7,9;0,35;0,21;1,90;0,073;46;102;0,9980;3,28;0,58;9,5
10,3;0,56;0,46;2,41;0,075;17;42;1,0425;3,53;0,65;9,9
7,9;0,64;0,10;6,02;0,116;5;11;1,0049;3,39;0,69;10,2
10,4;0,24;0,44;3,18;0,056;19;47;0,9516;2,98;0,51;9,1
8,0;0,56;0,13;2,56;0,070;11;36;1,0178;3,41;0,62;11,8
9,7;0,31;0,47;1,61;0,062;13;33;1,0038;3,29;0,66;10,1
7,9;0,48;0,12;2,68;0,082;12;50;1,0272;3,31;0,59;10,3
7,7;1,13;0,11;3,17;0,088;5;13;1,0232;3,63;0,62;11,5
7,2;0,83;0,03;2,06;0,091;10;18;0,9818;3,34;0,46;9,4
9,1;0,44;0,22;2,58;0,095;34;90;1,0311;3,30;0,54;9,5
7,2;0,58;0,31;2,62;0,100;12;96;0,9672;3,34;0,60;9,2
7,3;0,53;0,04;2,65;0,078;21;93;1,0169;3,56;0,61;10,0
9,6;0,33;0,40;2,21;0,080;10;59;0,9609;3,09;0,48;9,1
9,9;0,26;0,53;2,24;0,063;7;25;0,9715;3,09;0,51;12,3
11,0;0,46;0,34;2,57;0,101;20;39;1,0249;3,33;0,73;11,1
9,7;0,39;0,40;1,62;0,084;42;57;1,0445;3,63;0,76;11,4
5,5;0,99;0,65;1,91;0,036;14;86;0,9588;3,54;0,58;11,1
7,4;0,62;0,02;1,95;0,078;27;42;0,9749;3,37;0,63;10,7
8,1;0,29;0,28;3,02;0,191;13;24;0,9630;3,11;0,76;11,7
7,4;0,31;0,39;1,22;0,060;7;11;1,0009;3,32;0,53;11,6
9,4;0,40;0,46;4,61;0,094;3;10;1,0003;3,28;0,64;12,2
7,1;0,29;0,38;1,15;0,057;7;10;0,9737;3,22;0,51;11,3
8,6;0,63;0,13;1,85;0,074;38;47;1,0162;3,45;0,90;12,0
9,7;0,26;0,34;2,39;0,064;53;75;1,0350;3,59;0,92;10,6
8,6;0,47;0,27;2,31;0,055;14;28;0,9999;3,20;0,80;11,2
11,8;0,62;0,49;1,35;0,069;6;25;0,9795;3,01;0,59;10,2
10,0;0,24;0,47;1,79;0,062;5;8;0,9527;3,18;0,84;10,4
9,5;0,32;0,38;1,30;0,063;2;5;0,9565;3,06;0,52;11,0
10,3;0,37;0,46;2,59;0,095;21;90;1,0340;3,27;0,45;9,8
9,1;0,30;0,34;1,99;0,064;12;25;0,9902;3,24;0,84;11,6
9,4;0,34;0,45;1,54;0,058;19;38;1,0117;3,24;0,90;11,3
7,6;0,59;0,32;2,57;0,084;15;35;0,9481;3,15;0,55;10,2
6,8;0,74;0,10;5,57;0,119;9;18;1,0238;3,44;0,51;11,1
5,9;0,47;0,08;1,63;0,076;18;29;0,9675;3,36;0,52;10,9
8,1;0,78;0,10;3,29;0,090;4;13;0,9961;3,35;0,49;9,5
7,8;0,53;0,34;2,47;0,075;8;16;0,9791;3,16;0,71;13,0
6,7;0,79;0,01;3,02;0,076;27;54;1,0423;3,67;0,63;12,0
6,6;0,63;0,23;2,06;0,079;11;118;0,9799;3,31;0,69;10,7
6,8;0,81;0,04;7,86;0,081;6;13;1,0182;3,59;0,51;12,4
9,3;0,60;0,26;2,10;0,108;9;23;1,0387;3,41;0,75;10,0
7,3;0,41;0,28;2,02;0,072;18;64;0,9649;3,29;0,62;9,2
7,4;0,79;0,00;2,48;0,070;47;88;0,9480;3,22;0,59;10,3
7,4;0,74;0,07;1,69;0,086;15;48;0,9900;3,10;0,48;9,9
7,0;0,56;0,04;2,23;0,079;16;35;0,9698;3,29;0,58;10,0
7,2;0,63;0,11;1,45;0,073;27;64;1,0156;3,35;0,62;9,4
7,0;0,48;0,25;1,81;0,081;19;36;1,0361;3,53;0,63;11,0
8,9;0,52;0,30;2,22;0,109;11;37;0,9660;3,14;0,54;10,6
6,8;0,81;0,00;1,19;0,267;16;29;0,9924;3,31;0,51;9,8
7,3;0,56;0,01;2,54;0,075;11;34;0,9708;3,28;0,60;10,5
8,1;0,61;0,22;2,13;0,081;25;106;1,0084;3,34;0,50;10,0
6,6;0,64;0,31;6,09;0,083;7;49;0,9922;3,33;0,68;10,2
6,7;0,49;0,41;2,49;0,074;9;21;1,0319;3,68;0,75;11,0
6,5;0,54;0,09;3,93;0,124;14;32;1,0095;3,54;0,68;11,1
7,1;0,66;0,01;2,15;0,070;31;91;0,9762;3,26;0,67;10,9
7,6;1,00;0,06;2,20;0,065;21;51;1,0376;3,44;0,58;10,1
6,5;0,69;0,07;3,70;0,065;8;15;0,9726;3,36;0,51;12,4
5,7;0,50;0,12;2,32;0,052;17;91;1,0406;3,70;0,91;14,1
6,0;0,49;0,12;2,20;0,072;28;38;0,9552;3,29;0,72;10,6
