fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol
7,6;0,25;0,30;10,31;0,052;22;110;1,0307;3,24;0,37;9,9
7,0;0,28;0,27;16,25;0,050;56;199;1,0225;3,23;0,51;9,5
6,9;0,54;0,32;13,16;0,050;53;235;0,9907;3,18;0,50;9,5
6,4;0,25;0,38;0,86;0,038;44;141;0,9543;3,19;0,56;9,2
6,1;0,34;0,29;5,53;0,034;7;93;0,9652;3,18;0,40;10,7
6,1;0,20;0,25;1,23;0,038;34;129;0,9964;3,25;0,44;10,1
7,2;0,14;0,41;1,50;0,043;48;149;0,9598;2,90;0,58;10,1
5,9;0,21;0,24;12,11;0,044;53;165;0,9985;3,26;0,39;9,5
6,1;0,46;0,05;0,78;0,028;8;126;0,9545;2,85;0,27;10,4
6,6;0,48;0,07;1,20;0,032;10;136;1,0235;3,08;0,31;11,1
7,3;0,22;0,67;10,86;0,046;36;130;0,9745;2,91;0,37;8,6
8,4;0,28;0,44;1,73;0,036;32;131;1,0135;3,17;0,51;12,5
6,8;0,38;0,24;9,70;0,039;27;189;0,9812;3,23;0,60;9,0
7,4;0,32;0,27;7,44;0,051;38;160;1,0187;3,16;0,44;9,2
7,2;0,20;0,31;1,62;0,059;34;108;0,9835;3,68;0,68;10,4
6,3;0,27;0,46;11,71;0,037;61;211;0,9913;3,23;0,53;9,4
6,8;0,24;0,33;1,09;0,042;26;83;1,0231;3,49;0,55;10,5
8,6;0,16;0,37;1,64;0,039;38;144;0,9673;3,07;0,66;9,9
7,3;0,25;0,34;1,59;0,039;41;130;1,0390;3,32;0,44;11,7
7,6;0,21;0,38;17,12;0,049;44;194;1,0267;3,12;0,43;9,5
8,8;0,30;0,48;6,72;0,033;25;87;0,9649;2,90;0,33;11,2
7,5;0,23;0,41;14,93;0,043;46;134;1,0288;3,45;0,42;9,4
9,5;0,33;0,43;1,53;0,048;15;192;1,0331;3,20;0,50;10,0
7,8;0,19;0,35;9,47;0,042;62;157;0,9591;2,98;0,44;9,6
8,5;0,19;0,44;2,19;0,053;21;106;1,0095;2,90;0,47;9,7
7,5;0,19;0,30;1,39;0,045;13;148;1,0232;3,30;0,50;11,6
8,0;0,19;0,72;4,15;0,042;31;123;0,9431;3,09;0,40;11,7
7,2;0,15;0,48;0,99;0,053;17;145;0,9576;3,12;0,45;10,8
8,0;0,29;0,48;7,98;0,036;25;171;0,9745;3,04;0,29;11,0
7,2;0,30;0,47;13,10;0,060;48;184;0,9492;3,06;0,51;8,5
7,7;0,48;0,48;6,88;0,042;28;146;0,9747;3,14;0,32;9,8
8,7;0,33;0,37;15,09;0,042;48;194;1,0292;3,18;0,33;10,3
6,7;0,31;0,42;6,43;0,057;25;149;1,0008;3,18;0,45;9,7
7,4;0,17;0,24;6,39;0,052;36;242;1,0111;3,41;0,55;10,2
7,5;0,19;0,29;14,08;0,055;52;210;0,9797;3,08;0,45;8,7
8,4;0,14;0,28;1,34;0,044;27;124;0,9508;3,08;0,36;9,4
8,0;0,24;0,33;10,14;0,048;46;140;0,9874;3,13;0,48;10,2
8,0;0,29;0,37;15,60;0,058;33;124;1,0493;3,43;0,52;10,1
7,0;0,25;0,18;8,09;0,050;52;184;0,9781;3,10;0,51;9,5
6,8;0,31;0,34;1,30;0,037;23;120;0,9587;3,06;0,62;11,9
8,5;0,25;0,31;2,79;0,032;11;61;0,9907;3,06;0,44;11,5
7,7;0,21;0,33;1,88;0,040;36;123;1,0370;3,40;0,41;12,5
8,6;0,32;0,35;1,94;0,033;18;121;0,9649;2,87;0,97;12,4
6,1;0,29;0,22;15,64;0,044;21;144;1,0115;3,16;0,55;10,3
7,1;0,12;0,30;3,14;0,018;15;38;0,9970;3,04;0,52;12,0
