XX;YY;class
0,610651378;-0,459645658;1
-0,555537034;0,730968203;1
-0,584957041;0,6633846;0
1,197522563;-0,69494032;1
-0,554557303;0,796669797;0
-0,524280621;0,882978375;0
0,623590032;-0,782186612;1
0,060170254;0,910675386;0
0,443282654;0,647677162;0
0,628799725;0,892566295;0
-0,794410278;0,243574038;0
-1,010781764;0,958953985;0
0,744346405;0,896406975;0
0,999271644;0,912250561;0
-0,609919015;0,507849042;0
1,133935298;0,078846706;0
1,330145344;-0,729985966;1
2,124172723;0,41772343;1
0,432837217;-0,332806101;1
0,946458147;-0,542550425;1
1,258877764;-0,495588094;1
1,565871874;-0,215983504;1
0,742005632;0,791863476;0
-0,758564017;0,388747303;0
1,215132489;-0,523717719;1
2,201961037;-0,266661077;1
1,409457713;-0,258962161;1
0,253270607;-0,278188854;1
0,681197676;-0,490976799;1
-0,796376983;0,596832683;0
0,173103214;1,089339989;0
-0,642223758;0,8258777;0
0,603418493;0,433743255;0
-1,179087712;-0,042614609;0
0,16027131;0,241693139;1
1,032874785;-0,632701928;1
0,524855933;-0,454150199;1
-0,755086345;0,845252572;0
-0,107878129;0,057188892;1
-0,129681241;0,390567963;1
-0,689950999;0,416719746;0
0,910831324;-0,735531891;1
0,791679887;0,537528103;0
-0,490334123;0,342825236;0
-0,74901548;0,520598894;0
0,878378021;0,240484687;0
-0,907353878;0,754246345;0
-1,022505108;0,516031654;0
-0,446396321;0,665972863;0
1,316415061;-0,414783322;1
0,503182182;0,535393156;0
-0,564052698;0,941394091;0
0,22684584;1,168567576;0
1,5203114;-0,049123391;1
0,276589216;1,084912621;0
-0,617717741;0,706883647;0
-0,237052583;0,616454971;0
0,638716484;-0,259934211;1
1,657136517;-0,454803024;1
0,291622197;0,846536381;0
0,837000338;0,407659369;0
0,71271343;0,873217348;0
-0,834847795;0,368813674;0
2,043722179;0,016285222;1
0,633537771;-0,304418;1
0,442448492;-0,284917395;1
0,784072391;0,381466904;0
0,84884449;0,929308086;0
-0,52636305;0,858345361;0
1,856525413;0,244786253;1
0,19178378;0,215733892;1
-0,519937646;0,595440105;0
2,025798055;0,244986304;1
0,351203245;-0,478526054;1
0,713469854;-0,284389007;1
-0,59950979;0,984496807;0
2,071726866;-0,155190995;1
-0,684200497;0,686893207;0
-0,950859993;0,451399349;0
-0,926615569;0,041587055;0
0,687297736;0,919618878;0
2,059233404;0,190781592;1
1,923354181;0,402360779;1
0,26046758;0,401638073;0
0,877579007;0,679204989;0
-0,614442515;0,582399429;0
-0,614586052;0,672041674;0
1,085566385;-0,547190247;1
-0,391165685;1,357601703;0
-1,127970417;-0,197891361;0
1,814410813;-0,201810232;1
