# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 17
#
# Samples: 831  of event 'cycles:ppp'
# Event count (approx.): 1669426878
#
# Overhead  Command  Shared Object       Symbol                                                             
# ........  .......  ..................  ...................................................................
#
    15.40%  java     perf-10747.map      [.] 0x00007f194912fa90
    14.82%  java     [unknown]           [k] 0xffffffffa159608e
    12.85%  java     perf-10747.map      [.] 0x00007f194912fad9
     8.90%  java     perf-10747.map      [.] 0x00007f194912faa3
     5.16%  java     perf-10747.map      [.] 0x00007f194912fae4
     3.54%  java     perf-10747.map      [.] 0x00007f194912fab3
     2.66%  java     perf-10747.map      [.] 0x00007f194912fab7
     2.22%  java     [unknown]           [k] 0xffffffffc08194ad
     1.80%  java     perf-10747.map      [.] 0x00007f194912fac5
     1.75%  java     [unknown]           [k] 0xffffffffa158cbc0
     1.63%  java     libjvm.so           [.] IndexSetIterator::advance_and_next
     1.59%  java     libjvm.so           [.] Symbol::decrement_refcount
     1.22%  java     perf-10747.map      [.] 0x00007f1948df59a4
     0.81%  java     [unknown]           [k] 0xffffffffa1596064
     0.64%  java     perf-10747.map      [.] 0x00007f194912faac
     0.54%  java     perf-10747.map      [.] 0x00007f194912fae0
     0.49%  java     libjvm.so           [.] PhaseIdealLoop::build_loop_tree
     0.44%  java     perf-10747.map      [.] 0x00007f1948dfc906
     0.44%  java     perf-10747.map      [.] 0x00007f19491289d8
     0.39%  java     libjvm.so           [.] klassVtable::initialize_vtable
     0.39%  java     perf-10747.map      [.] 0x00007f1949128933
     0.38%  java     [unknown]           [k] 0xffffffffa1195377
     0.37%  java     perf-10747.map      [.] 0x00007f1948dfd330
     0.33%  java     [unknown]           [k] 0xffffffffc07e3ce4
     0.33%  java     libc-2.17.so        [.] vfprintf
     0.32%  java     [unknown]           [k] 0xffffffffc0814055
     0.31%  java     libjvm.so           [.] Monitor::jvm_raw_unlock
     0.31%  java     perf-10747.map      [.] 0x00007f1949128a04
     0.28%  java     libjvm.so           [.] ThreadInVMfromJava::~ThreadInVMfromJava
     0.26%  java     libjvm.so           [.] LinearScan::resolve_data_flow
     0.25%  java     perf-10747.map      [.] 0x00007f1948e03580
     0.25%  java     libzip.so           [.] readCEN
     0.25%  java     libjvm.so           [.] Symbol::equals
     0.24%  java     [unknown]           [k] 0xffffffffa0fad946
     0.24%  java     perf-10747.map      [.] 0x00007f19491288f1
     0.24%  java     libjvm.so           [.] InterpreterRuntime::resolve_get_put
     0.23%  java     [unknown]           [k] 0xffffffffa158c48a
     0.22%  java     libjvm.so           [.] Metaspace::allocate
     0.21%  java     [unknown]           [k] 0xffffffffa0f3ea26
     0.21%  java     [unknown]           [k] 0xffffffffa1595e66
     0.20%  java     perf-10747.map      [.] 0x00007f1948e05ee4
     0.20%  java     libjvm.so           [.] Matcher::init_first_stack_mask
     0.19%  java     perf-10747.map      [.] 0x00007f194912897e
     0.17%  java     [unknown]           [k] 0xffffffffc07e3ca5
     0.17%  java     libjvm.so           [.] resource_allocate_bytes
     0.16%  java     libjvm.so           [.] PhaseAggressiveCoalesce::insert_copies
     0.15%  java     perf-10747.map      [.] 0x00007f1948dff6fa
     0.15%  java     [unknown]           [k] 0xffffffffa158c4ef
     0.14%  java     libpthread-2.17.so  [.] pthread_getspecific
     0.14%  java     perf-10747.map      [.] 0x00007f1948e0541c
     0.14%  java     libjvm.so           [.] LoadField::name
     0.13%  java     perf-10747.map      [.] 0x00007f194912802c
     0.13%  java     [unknown]           [k] 0xffffffffa0ed3c00
     0.13%  java     perf-10747.map      [.] 0x00007f1948de5076
     0.12%  java     [unknown]           [k] 0xffffffffa0ef777d
     0.11%  java     [unknown]           [k] 0xffffffffc07e3ccf
     0.11%  java     [unknown]           [k] 0xffffffffa0fbcfa2
     0.11%  java     [unknown]           [k] 0xffffffffc0808110
     0.11%  java     ld-2.17.so          [.] _dl_relocate_object
     0.11%  java     perf-10747.map      [.] 0x00007f1948dff70a
     0.11%  java     libjvm.so           [.] PhaseIdealLoop::Dominators
     0.11%  java     hsdis-amd64.so      [.] oappend
     0.11%  java     [unknown]           [k] 0xffffffffa0fe9310
     0.10%  java     libc-2.17.so        [.] __strlen_sse2_pminub
     0.10%  java     libjvm.so           [.] jio_print
     0.10%  java     [unknown]           [k] 0xffffffffa11957e9
     0.10%  java     hsdis-amd64.so      [.] print_insn
     0.10%  java     libjvm.so           [.] InstanceKlass::is_same_class_package
     0.10%  java     perf-10747.map      [.] 0x00007f194912faca
     0.09%  java     libjvm.so           [.] Compilation::compile_java_method
     0.09%  java     libjvm.so           [.] Rewriter::compute_index_maps
     0.09%  java     libjvm.so           [.] ClassFileParser::parse_constant_pool_entries
     0.09%  java     libjvm.so           [.] ciObjectFactory::get_metadata
     0.09%  java     [unknown]           [k] 0xffffffffc07e3ccd
