# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 16
#
# Samples: 284  of event 'cycles:ppp'
# Event count (approx.): 1986902148
#
# Overhead  Command          Shared Object       Symbol                                                   
# ........  ...............  ..................  .........................................................
#
    68.60%  java             jitted-925-430.so   [.] class MULT.mmult(int)
     8.06%  java             [unknown]           [k] 0xffffffffa738cbc0
     4.97%  C2 CompilerThre  libjvm.so           [.] RegMask::is_bound1
     4.26%  java             jitted-925-47.so    [.] Interpreter
     1.87%  C1 CompilerThre  libjvm.so           [.] LIR_Address::as_address
     1.54%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::build_loop_tree_impl
     1.25%  C2 CompilerThre  libjvm.so           [.] AddPNode::bottom_type
     0.92%  java             ld-2.17.so          [.] _dl_setup_hash
     0.36%  java             [unknown]           [k] 0xffffffffa6dc82e7
     0.32%  C1 CompilerThre  [unknown]           [k] 0xffffffffa738ca5b
     0.30%  java             jitted-925-423.so   [.] class MULT.init(int)
     0.30%  java             jitted-925-1.so     [.] flush_icache_stub
     0.30%  java             [unknown]           [k] 0xffffffffa6dc8eb3
     0.26%  java             [unknown]           [k] 0xffffffffa6e769c0
     0.25%  java             [unknown]           [k] 0xffffffffa6f95377
     0.24%  C2 CompilerThre  libc-2.17.so        [.] __memset_sse2
     0.23%  C1 CompilerThre  libjvm.so           [.] Compiler::compile_method
     0.21%  C2 CompilerThre  [unknown]           [k] 0xffffffffa738cbc0
     0.21%  java             [unknown]           [k] 0xffffffffa738c45a
     0.19%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::build_loop_late
     0.19%  java             [unknown]           [k] 0xffffffffc0d1decf
     0.17%  java             libc-2.17.so        [.] sysmalloc
     0.17%  java             [unknown]           [k] 0xffffffffa6fa6751
     0.14%  C1 CompilerThre  [unknown]           [k] 0xffffffffa6f95377
     0.13%  java             [unknown]           [k] 0xffffffffa738c48a
     0.12%  java             [unknown]           [k] 0xffffffffa6fa6684
     0.11%  java             ld-2.17.so          [.] _dl_update_slotinfo
     0.11%  java             libjvm.so           [.] SymbolTable::lookup_shared
     0.11%  java             [unknown]           [k] 0xffffffffa6e3ec70
     0.09%  java             [unknown]           [k] 0xffffffffa6dc8d3e
     0.09%  java             [unknown]           [k] 0xffffffffa6e27ed5
     0.08%  java             [unknown]           [k] 0xffffffffa6dcd206
     0.07%  java             libjvm.so           [.] SharedRuntime::gen_i2c_adapter
     0.07%  java             libjvm.so           [.] AbstractInterpreter::method_kind
     0.07%  java             libjvm.so           [.] Assembler::emit_compressed_disp_byte
     0.07%  java             ld-2.17.so          [.] __tls_get_addr
     0.07%  java             libjvm.so           [.] InstanceKlass::find_method_index
     0.07%  java             [unknown]           [k] 0xffffffffa6dfb6f0
     0.06%  java             [unknown]           [k] 0xffffffffa738ba80
     0.06%  java             [unknown]           [k] 0xffffffffa6cf77d4
     0.05%  java             [unknown]           [k] 0xffffffffa6deec61
     0.05%  java             libjvm.so           [.] InterpreterMacroAssembler::get_cache_and_index_at_bcp
     0.05%  java             libjvm.so           [.] Assembler::movl
     0.05%  java             [unknown]           [k] 0xffffffffa6f957e9
     0.04%  C1 CompilerThre  libjvm.so           [.] LIRItem::load_item
     0.04%  java             [unknown]           [k] 0xffffffffa7399d1b
     0.04%  Service Thread   libc-2.17.so        [.] __strlen_sse2_pminub
     0.04%  C2 CompilerThre  libjvm.so           [.] ciTypeFlow::df_flow_types
     0.04%  java             libjvm.so           [.] Assembler::emit_operand_helper
     0.04%  java             libjvm.so           [.] ContiguousSpacePool::ContiguousSpacePool
     0.04%  C2 CompilerThre  libjvm.so           [.] Parse::merge_memory_edges
     0.04%  C2 CompilerThre  libjvm.so           [.] ciMetadata::is_obj_array_klass
     0.04%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::get_ctrl
     0.04%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::get_loop
     0.04%  java             [unknown]           [k] 0xffffffffa6df68d8
     0.04%  C2 CompilerThre  libjvm.so           [.] Node::hash
     0.04%  C2 CompilerThre  libjvm.so           [.] Node::clone
     0.04%  C2 CompilerThre  libjvm.so           [.] TypeOopPtr::TypeOopPtr
     0.04%  java             libjvm.so           [.] AdapterHandlerLibrary::create_adapter
     0.04%  java             libjvm.so           [.] CodeCache::find_blob
     0.04%  java             libjvm.so           [.] Dictionary::find
     0.04%  java             [unknown]           [k] 0xffffffffa738ca5b
     0.04%  java             [unknown]           [k] 0xffffffffa7390452
     0.04%  java             perf-925.map        [.] 0x00007f1b6dca6c7b
     0.04%  java             libjvm.so           [.] CodeHeap::find_blob_unsafe
     0.04%  C2 CompilerThre  libjvm.so           [.] Node_List::push
     0.04%  java             libjvm.so           [.] Label::add_patch_at
     0.04%  VM Thread        [unknown]           [k] 0xffffffffa6dae408
     0.04%  java             libjvm.so           [.] SystemDictionaryShared::find_record
     0.04%  java             [unknown]           [k] 0xffffffffa6f95595
     0.04%  java             libjvm.so           [.] StringTable::intern
     0.04%  java             [unknown]           [k] 0xffffffffa6cc23e4
