# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 197
#
# Samples: 2K of event 'cycles:ppp'
# Event count (approx.): 34805110900
#
# Overhead  Command          Shared Object        Symbol                                                                                                                                                                    
# ........  ...............  ...................  ..........................................................................................................................................................................
#
    73.32%  java             jitted-23333-426.so  [.] class MULT_2.mmult(int)
    13.93%  java             jitted-23333-430.so  [.] class MULT_2.init(int)
     8.47%  java             [unknown]            [k] 0xffffffffa158cbc0
     1.23%  VM Thread        libjvm.so            [.] DefNewGeneration::space_iterate
     0.85%  java             libjvm.so            [.] ObjArrayAllocator::initialize
     0.40%  java             libjvm.so            [.] TypeArrayKlass::multi_allocate
     0.32%  java             libjvm.so            [.] MemAllocator::Allocation::notify_allocation_jvmti_sampler
     0.24%  java             jitted-23333-47.so   [.] Interpreter
     0.24%  VM Thread        libc-2.17.so         [.] __memset_sse2
     0.13%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::build_ifg_physical
     0.04%  java             jitted-23333-422.so  [.] class java.util.Random.nextDouble()
     0.04%  java             libc-2.17.so         [.] __memset_sse2
     0.03%  java             ld-2.17.so           [.] _dl_update_slotinfo
     0.02%  C1 CompilerThre  libjvm.so            [.] LIR_OpVisitState::append
     0.02%  java             [unknown]            [k] 0xffffffffa119139a
     0.02%  C1 CompilerThre  libjvm.so            [.] LIR_Assembler::reg2reg
     0.01%  VM Thread        libc-2.17.so         [.] __clock_gettime
     0.01%  java             [unknown]            [k] 0xffffffffa1195377
     0.01%  C2 CompilerThre  libjvm.so            [.] RegMask::is_bound
     0.01%  java             [unknown]            [k] 0xffffffffa158c48a
     0.01%  VM Thread        libc-2.17.so         [.] __memmove_ssse3_back
     0.01%  C1 CompilerThre  libjvm.so            [.] Interval::split_child_at_op_id
     0.01%  java             libjvm.so            [.] AccessInternal::PostRuntimeDispatch<CardTableBarrierSet::AccessBarrier<1335398ul, CardTableBarrierSet>, (AccessInternal::BarrierType)1, 1335398ul>::oop_access_barrier
     0.01%  VM Thread        libjvm.so            [.] DefNewGeneration::IsAliveClosure::do_object_b
     0.01%  java             libjvm.so            [.] Klass::check_array_allocation_length
     0.01%  C1 CompilerThre  libjvm.so            [.] GraphBuilder::append_with_bci
     0.01%  C1 CompilerThre  jitted-23333-1.so    [.] flush_icache_stub
     0.01%  java             libjvm.so            [.] CompilerConfig::is_interpreter_only
     0.01%  java             jitted-23333-421.so  [.] class java.util.Random.next(int)
     0.01%  VM Thread        libjvm.so            [.] ConstantPool::impl_signature_ref_at
